Name,Symbol
2020 BULKERS,2020
5TH PLANET GAMES,5PG
AASEN SPAREBANK,AASB
ABG SUNDAL COLLIER,ABG
ADEVINTA,ADE
ADS MARITIME HOLD,ADS
AEGA,AEGA
AF GRUPPEN,AFG
AGILYX,AGLX
AIRTHINGS,AIRX
AKASTOR,AKAST
AKER,AKER
AKER BIOMARINE,AKBM
AKER BP,AKRBP
AKER CARBON CAPTUR,ACC
AKER CLEAN HYDROGE,ACH
AKER HORIZONS,AKH
AKER OFFSHORE WIND,AOW
AKER SOLUTIONS,AKSO
AKOBO MINERALS,AKOBO
AKVA GROUP,AKVA
ALTERNUS ENERGY GR,ALT
AMERICAN SHIPPING,AMSC
ANDFJORD SALMON,ANDF
ANORA GROUP,ANORA
AQUA BIO TECHNO,ABT
AQUALISBRAEMAR LOC,AQUA
ARCHER,ARCH
ARCTIC BIOSCIENCE,ABS
ARCTIC FISH HOLDIN,AFISH
ARCTICZYMES TECHNO,AZT
ARENDALS FOSSEKOMP,AFK
ARGEO,ARGEO
ARRIBATEC GROUP,ARR
ASETEK,ASTK
ASTROCAST,ASTRO
ATEA,ATEA
ATLANTIC SAPPHIRE,ASA
AURSKOG SPAREBANK,AURG
AUSTEVOLL SEAFOOD,AUSS
AUTOSTORE HOLDINGS,AUTO
AVANCE GAS HOLDING,AGAS
AWILCO DRILLING,AWDR
AWILCO LNG,ALNG
AXACTOR,ACR
AYFIE GROUP,AYFIE
B2HOLDING,B2H
BAKKAFROST,BAKKA
BALTIC SEA PROP,BALT
BANK NORWEGIAN,BANO
BARRAMUNDI GROUP,BARRA
BELSHIPS,BELCO
BERGEN CARBON SOL,BCS
BERGENBIO,BGBIO
BEWI,BEWI
BIOFISH HOLDING,BFISH
BLACK SEA PROPERTY,BSP
BONHEUR,BONHR
BORGESTAD,BOR
BORR DRILLING,BORR
BORREGAARD,BRG
BOUVET,BOUV
BRABANK,BRA
BW ENERGY LIMITED,BWE
BW Epic Kosan,BWEK
BW IDEOL,BWIDL
BW LPG,BWLPG
BW OFFSHORE LTD,BWO
BYGGMA,BMA
CADELER,CADLR
CAMBI,CAMBI
CARASENT,CARA
CARBON TRANSITION,CARBN
CIRCA GROUP,CIRCA
CLEAN SEAS SEAFOOD,CSS
CLOUDBERRY CLEAN,CLOUD
CONTEXTVISION,CONTX
CRAYON GROUP HOLD,CRAYN
